Date,HomeTeam,AwayTeam,Referee,HPPG,HPPGH,HPPG_FORM,HPPGH_FORM,APPG,APPGA,APPG_FORM,APPGA_FORM,HGS,HGSH,HGS_FORM,HGSH_FORM,AGS,AGSA,AGS_FORM,AGSA_FORM,HGC,HGCH,HGC_FORM,HGCH_FORM,AGC,AGCA,AGC_FORM,AGCA_FORM,HCS,HCSH,HCS_FORM,HCSH_FORM,ACS,ACSA,ACS_FORM,ACSA_FORM,HPOS,APOS,HPDU,HPDD,APDU,APDD,HS_FORM,AS_FORM,HST_FORM,AST_FORM,HF_FORM,AF_FORM,HC_FORM,AC_FORM,HY_FORM,AY_FORM,HR_FORM,AR_FORM,FTR
15/08/2015,Sunderland,Norwich,K Friend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,18,0.0,0.0,0.0,0.0,10.0,17.0,5.0,6.0,17.0,14.0,3.0,1.0,4.0,1.0,0.0,0.0,A
15/08/2015,Swansea,Newcastle,M Jones,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,10,0.0,0.0,0.0,0.0,18.0,9.0,10.0,4.0,16.0,9.0,8.0,6.0,3.0,2.0,0.0,0.0,H
15/08/2015,Tottenham,Stoke,R Madley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,15,0.0,0.0,0.0,0.0,9.0,7.0,4.0,1.0,12.0,9.0,2.0,3.0,3.0,2.0,0.0,0.0,D
15/08/2015,Watford,West Brom,P Tierney,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,20,0.0,1.0,0.0,0.0,11.0,9.0,5.0,2.0,13.0,12.0,2.0,6.0,2.0,4.0,0.0,0.0,D
15/08/2015,West Ham,Leicester,A Taylor,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,3,0.0,0.0,0.0,0.0,8.0,19.0,4.0,8.0,9.0,13.0,4.0,6.0,3.0,2.0,0.0,0.0,A
16/08/2015,Crystal Palace,Arsenal,L Mason,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,19,0.0,0.0,0.0,0.0,11.0,22.0,7.0,6.0,20.0,12.0,4.0,5.0,0.0,1.0,0.0,0.0,A
16/08/2015,Man City,Chelsea,M Atkinson,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,12,1.0,0.0,1.0,0.0,19.0,11.0,7.0,3.0,9.0,15.0,6.0,4.0,1.0,1.0,0.0,1.0,H
17/08/2015,Liverpool,Bournemouth,C Pawson,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,19,0.0,0.0,1.0,0.0,8.0,11.0,3.0,2.0,16.0,13.0,5.0,6.0,4.0,3.0,0.0,0.0,H
22/08/2015,Crystal Palace,Aston Villa,K Stroud,1.5,0.0,1.5,0.0,1.5,3.0,1.5,3.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,1.5,2.0,1.5,2.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,7,10,1.0,0.0,0.0,0.0,11.0,6.0,5.5,2.0,17.0,13.5,5.0,3.0,0.5,3.0,0.0,0.0,H
22/08/2015,Leicester,Tottenham,M Atkinson,3.0,3.0,3.0,3.0,0.5,0.0,0.5,0.0,3.0,4.0,3.0,4.0,1.0,0.0,1.0,0.0,1.5,2.0,1.5,2.0,1.5,1.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,14,0.0,0.0,0.0,0.0,15.0,11.0,7.0,5.5,12.5,13.5,5.0,3.0,2.5,2.5,0.0,0.0,D
22/08/2015,Man United,Newcastle,C Pawson,3.0,3.0,3.0,3.0,0.5,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,15,0.0,2.0,0.0,0.0,9.0,6.5,1.5,3.0,11.0,8.5,3.0,5.0,2.0,1.5,0.0,0.5,D
22/08/2015,Norwich,Stoke,M Dean,1.5,0.0,1.5,0.0,0.5,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,1.5,2.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,13,0.0,0.0,1.0,0.0,18.0,11.5,6.0,4.0,10.5,10.0,3.5,3.0,1.5,2.0,0.0,0.0,D
22/08/2015,Sunderland,Swansea,N Swarbrick,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.5,1.0,1.5,1.0,2.0,2.0,2.0,2.0,3.5,3.0,3.5,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,20,6,0.0,0.0,0.0,1.0,8.0,18.5,3.5,8.0,12.0,13.5,4.5,6.0,2.5,2.5,0.0,0.0,D
22/08/2015,West Ham,Bournemouth,J Moss,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.5,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,8,19,0.0,0.0,1.0,0.0,9.0,12.0,3.5,2.0,10.0,15.5,6.0,7.0,2.0,3.5,0.5,0.0,A
23/08/2015,Everton,Man City,A Taylor,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,2.5,2.0,2.5,2.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,1.0,1.0,1.0,7,3,1.0,0.0,1.0,0.0,10.0,18.5,4.5,7.5,8.5,14.0,8.5,5.5,1.5,2.5,0.0,0.0,A
23/08/2015,Watford,Southampton,A Marriner,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,2.5,2.0,2.5,2.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,13,18,1.0,0.0,0.0,0.0,13.5,16.0,5.0,4.5,13.0,11.5,2.0,7.5,1.5,4.0,0.0,0.0,D
23/08/2015,West Brom,Chelsea,M Clattenburg,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.5,3.0,1.5,3.0,2.5,3.0,2.5,3.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,19,17,0.0,0.0,1.0,0.0,7.5,10.5,1.0,3.0,11.0,14.0,5.0,2.5,3.0,1.5,0.0,0.5,A
24/08/2015,Arsenal,Liverpool,M Oliver,1.5,0.0,1.5,0.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.5,2.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,13,5,0.0,0.0,0.0,1.0,21.0,13.0,6.5,2.5,12.0,13.5,5.5,5.5,1.0,2.5,0.0,0.0,D
29/08/2015,Aston Villa,Sunderland,R Madley,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.3333333333333333,2.0,1.3333333333333333,2.0,1.0,1.0,1.0,1.0,2.6666666666666665,4.0,2.6666666666666665,4.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,14,19,0.0,1.0,1.0,0.0,7.666666666666667,8.666666666666666,2.0,3.0,14.0,13.333333333333334,3.3333333333333335,4.0,3.0,3.0,0.0,0.0,D
